id,language,platform,gender,country,success,ui,timestamp
1,English,Android,Male,USA,TRUE,A,4/29/2023 2:44
2,German,Android,Male,India,TRUE,A,1/10/2023 15:03
3,Spanish,Android,Male,USA,FALSE,A,10/19/2023 19:13
4,French,Android,Male,Canada,FALSE,B,5/17/2023 3:09
5,German,iOS,Male,USA,TRUE,A,10/29/2023 14:08
6,French,Android,Female,India,TRUE,A,10/3/2023 14:51
7,German,iOS,Female,India,TRUE,A,10/17/2023 9:24
8,English,Android,Male,Canada,FALSE,A,12/6/2023 16:38
9,Hindi,iOS,Male,UK,TRUE,B,9/24/2023 20:36
10,Chinese,iOS,Male,Australia,FALSE,B,9/11/2023 5:56
11,French,Android,Female,India,TRUE,A,1/30/2023 8:00
12,Spanish,iOS,Male,UK,FALSE,B,10/17/2023 8:09
13,Hindi,Android,Female,India,FALSE,A,9/16/2023 16:05
14,German,Android,Female,India,TRUE,B,1/3/2023 1:37
15,English,Android,Female,Australia,FALSE,B,5/13/2023 7:13
16,English,Android,Female,India,TRUE,A,3/28/2023 5:35
17,English,Android,Female,Canada,TRUE,A,1/22/2023 14:37
18,German,Android,Male,India,TRUE,B,5/8/2023 8:11
19,French,iOS,Female,India,TRUE,A,3/20/2023 22:26
20,Chinese,iOS,Male,Canada,TRUE,A,2/22/2023 19:30
21,Chinese,iOS,Female,Australia,FALSE,B,10/24/2023 22:38
22,Chinese,Android,Female,India,FALSE,A,8/21/2023 11:35
23,English,iOS,Male,UK,TRUE,B,8/22/2023 6:57
24,French,Android,Male,India,FALSE,A,8/9/2023 4:19
25,English,Android,Female,Australia,FALSE,B,1/30/2023 12:24
26,Hindi,iOS,Female,UK,FALSE,B,5/8/2023 9:10
27,German,Android,Female,Canada,FALSE,B,11/7/2023 1:01
28,Chinese,Android,Male,India,FALSE,A,4/6/2023 21:28
29,French,iOS,Female,USA,FALSE,B,12/13/2023 23:58
30,Hindi,Android,Female,Canada,FALSE,B,8/24/2023 6:04
31,Spanish,iOS,Male,Australia,TRUE,B,12/24/2023 0:14
